placeOfUse,entryAmount,memo,category
하나로마트 양재,8348,치킨 세트,마트
쿠팡,58340,영화 관람,쇼핑
미스터피자 홍대점,113552,카페라떼,식비
쿠팡이츠,45464,아메리카노,식비
현대백화점 무역센터점,58515,화장품 구매,쇼핑
롯데시네마 월드타워,87316,티켓 구매,여가/취미
메가박스 강남,86088,저녁 배달,여가/취미
교보문고 광화문점,93807,택시요금,여가/취미
버거킹 강남점,107807,치킨 세트,식비
T맵택시,85523,옷 구매,교통
배민1,20694,택시요금,식비
롯데시네마 월드타워,111105,카페라떼,여가/취미
현대백화점 무역센터점,104987,치킨 세트,쇼핑
교촌치킨 서초점,38417,주유,식비
하나로마트 양재,127606,생활용품 구매,마트
버거킹 강남점,105066,아메리카노,식비
요기요,33217,편의점 간식,식비
맘스터치 사당점,76595,화장품 구매,식비
요기요,22890,치킨 세트,식비
SK주유소 방배점,44874,스낵 구입,교통
현대백화점 무역센터점,77234,생활용품 구매,쇼핑
코스트코 양재점,92850,편의점 간식,마트
CU 신림점,89862,택시요금,편의점
롯데시네마 월드타워,146381,화장품 구매,여가/취미
맥도날드 신림점,55206,편의점 간식,식비
GS칼텍스 강남대로점,44443,치킨 세트,교통
요기요,49658,식재료 구매,식비
이마트 용산점,6362,카페라떼,마트
홈플러스 강서점,43610,점심 식사,마트
버거킹 강남점,107677,영화 관람,식비
알라딘 중고서점 홍대,130448,아메리카노,여가/취미
GS25 강남역점,84199,옷 구매,편의점
하이패스,112705,스낵 구입,교통
롯데백화점 본점,82872,도서 구매,쇼핑
요기요,97895,생활용품 구매,식비
T맵택시,11922,치킨 세트,교통
교촌치킨 서초점,138279,도서 구매,식비
G마켓,93010,도서 구매,쇼핑
BBQ치킨 역삼점,108265,옷 구매,식비
메가박스 강남,47097,옷 구매,여가/취미
GS25 강남역점,28698,점심 식사,편의점
현대백화점 무역센터점,145306,티켓 구매,쇼핑
메가박스 강남,25006,저녁 배달,여가/취미
SK주유소 방배점,149629,점심 식사,교통
G마켓,15962,도서 구매,쇼핑
교보문고 광화문점,143674,카페라떼,여가/취미
ABC마트 강남점,70833,생활용품 구매,쇼핑
올리브영 강남점,73684,주말 장보기,쇼핑
메가커피 신촌점,104240,티켓 구매,카페
BBQ치킨 역삼점,100442,주유,식비
배민1,117421,생활용품 구매,식비
메가커피 신촌점,18157,스낵 구입,카페
BBQ치킨 역삼점,63192,영화 관람,식비
bhc치킨 대치점,40885,아메리카노,식비
코스트코 양재점,125421,스낵 구입,마트
홈플러스 강서점,100232,저녁 배달,마트
메가커피 신촌점,91517,지하철 요금,카페
T맵택시,131145,지하철 요금,교통
롯데백화점 본점,2028,도서 구매,쇼핑
CGV 압구정,76006,택시요금,여가/취미
다이소 신촌점,65023,편의점 간식,생활
올리브영 강남점,93150,주말 장보기,쇼핑
미스터피자 홍대점,67951,스낵 구입,식비
롯데백화점 본점,78657,화장품 구매,쇼핑
버거킹 강남점,136171,주유,식비
하나로마트 양재,81987,주말 장보기,마트
메가커피 신촌점,7163,저녁 배달,카페
CU 신림점,79494,편의점 간식,편의점
요기요,93561,점심 식사,식비
이디야커피 잠실점,22706,편의점 간식,카페
하나로마트 양재,121171,편의점 간식,마트
배민1,105651,편의점 간식,식비
bhc치킨 대치점,91978,스낵 구입,식비
쿠팡,86251,치킨 세트,쇼핑
맥도날드 신림점,94294,생활용품 구매,식비
롯데시네마 월드타워,14905,택시요금,여가/취미
설빙 신촌점,99370,점심 식사,카페
던킨도너츠 강남역,84338,택시요금,카페
롯데시네마 월드타워,130541,주말 장보기,여가/취미
롯데시네마 월드타워,67515,편의점 간식,여가/취미
스타벅스 강남역점,33501,지하철 요금,카페
롯데백화점 본점,42262,생활용품 구매,쇼핑
메가커피 신촌점,142744,화장품 구매,카페
맥도날드 신림점,14798,도서 구매,식비
맘스터치 사당점,69755,영화 관람,식비
버거킹 강남점,76487,영화 관람,식비
올리브영 강남점,50176,화장품 구매,쇼핑
메가커피 신촌점,149229,주말 장보기,카페
bhc치킨 대치점,10138,지하철 요금,식비
쿠팡이츠,90129,카페라떼,식비
세븐일레븐 홍대점,75903,주유,편의점
YES24,62204,저녁 배달,여가/취미
스타벅스 강남역점,87243,도서 구매,카페
CU 신림점,106247,점심 식사,편의점
홈플러스 강서점,44284,저녁 배달,마트
버거킹 강남점,102054,택시요금,식비
GS25 강남역점,94301,편의점 간식,편의점
설빙 신촌점,18881,택시요금,카페
투썸플레이스 홍대점,91926,치킨 세트,카페
CU 신림점,67357,택시요금,편의점
스타벅스 강남역점,52070,식재료 구매,카페
현대백화점 무역센터점,39085,저녁 배달,쇼핑
맘스터치 사당점,118162,주말 장보기,식비
쿠팡이츠,32867,생활용품 구매,식비
롯데시네마 월드타워,67879,생활용품 구매,여가/취미
쿠팡,8011,화장품 구매,쇼핑
11번가,108475,스낵 구입,쇼핑
다이소 신촌점,120883,주말 장보기,생활
ABC마트 강남점,124299,스낵 구입,쇼핑
카페베네 종로점,44035,택시요금,카페
투썸플레이스 홍대점,94655,식재료 구매,카페
세븐일레븐 홍대점,80354,생활용품 구매,편의점
요기요,110376,점심 식사,식비
요기요,32174,편의점 간식,식비
다이소 신촌점,18310,택시요금,생활
배민1,140772,지하철 요금,식비
하나로마트 양재,9150,지하철 요금,마트
롯데시네마 월드타워,127702,지하철 요금,여가/취미
홈플러스 강서점,30000,영화 관람,마트
GS칼텍스 강남대로점,89526,카페라떼,교통
교촌치킨 서초점,59769,스낵 구입,식비
GS칼텍스 강남대로점,77954,영화 관람,교통
올리브영 강남점,97398,영화 관람,쇼핑
올리브영 강남점,101114,도서 구매,쇼핑
올리브영 강남점,16790,도서 구매,쇼핑
메가커피 신촌점,46306,주말 장보기,카페
설빙 신촌점,22914,저녁 배달,카페
T맵택시,143302,편의점 간식,교통
쿠팡이츠,97323,치킨 세트,식비
파파존스 강남점,69668,화장품 구매,식비
하이패스,103944,아메리카노,교통
교촌치킨 서초점,82240,도서 구매,식비
메가커피 신촌점,125276,주유,카페
버거킹 강남점,122055,택시요금,식비
홈플러스 강서점,117302,스낵 구입,마트
알라딘 중고서점 홍대,119450,택시요금,여가/취미
GS칼텍스 강남대로점,13847,치킨 세트,교통
메가박스 강남,101352,치킨 세트,여가/취미
맘스터치 사당점,142633,스낵 구입,식비
롯데백화점 본점,69700,옷 구매,쇼핑
메가박스 강남,85753,지하철 요금,여가/취미
코스트코 양재점,129655,아메리카노,마트
SK주유소 방배점,66392,스낵 구입,교통
YES24,14216,식재료 구매,여가/취미
교촌치킨 서초점,126389,옷 구매,식비
CGV 압구정,62888,택시요금,여가/취미
카카오택시,130098,택시요금,교통
YES24,37880,주말 장보기,여가/취미
카카오택시,123809,옷 구매,교통
알라딘 중고서점 홍대,86470,점심 식사,여가/취미
하이패스,49142,점심 식사,교통
현대백화점 무역센터점,110559,아메리카노,쇼핑
던킨도너츠 강남역,23076,아메리카노,카페
롯데백화점 본점,7314,티켓 구매,쇼핑
다이소 신촌점,40742,생활용품 구매,생활
이디야커피 잠실점,116483,영화 관람,카페
이마트 용산점,62412,옷 구매,마트
메가박스 강남,24724,택시요금,여가/취미
G마켓,129372,주말 장보기,쇼핑
하이패스,36136,치킨 세트,교통
맥도날드 신림점,3938,카페라떼,식비
bhc치킨 대치점,144387,지하철 요금,식비
배민1,138264,지하철 요금,식비
교촌치킨 서초점,57498,스낵 구입,식비
요기요,76680,편의점 간식,식비
11번가,130740,아메리카노,쇼핑
알라딘 중고서점 홍대,76850,옷 구매,여가/취미
올리브영 강남점,66349,도서 구매,쇼핑
G마켓,18277,주말 장보기,쇼핑
롯데백화점 본점,148019,티켓 구매,쇼핑
투썸플레이스 홍대점,67460,옷 구매,카페
GS25 강남역점,5283,도서 구매,편의점
하이패스,25457,티켓 구매,교통
메가박스 강남,52186,화장품 구매,여가/취미
카페베네 종로점,145415,편의점 간식,카페
하이패스,138082,아메리카노,교통
GS25 강남역점,148701,스낵 구입,편의점
11번가,71739,편의점 간식,쇼핑
배민1,140266,치킨 세트,식비
메가박스 강남,139158,화장품 구매,여가/취미
버거킹 강남점,5775,점심 식사,식비
미스터피자 홍대점,36633,주말 장보기,식비
다이소 신촌점,59488,주유,생활
하나로마트 양재,9830,옷 구매,마트
버거킹 강남점,50954,스낵 구입,식비
하이패스,20139,옷 구매,교통
쿠팡이츠,44560,지하철 요금,식비
ABC마트 강남점,42341,택시요금,쇼핑
미스터피자 홍대점,39624,도서 구매,식비
YES24,10514,생활용품 구매,여가/취미
알라딘 중고서점 홍대,63123,영화 관람,여가/취미
롯데시네마 월드타워,38813,치킨 세트,여가/취미
교보문고 광화문점,131986,편의점 간식,여가/취미
CU 신림점,25942,택시요금,편의점
쿠팡이츠,79268,아메리카노,식비
쿠팡,48236,치킨 세트,쇼핑
SK주유소 방배점,5651,저녁 배달,교통
롯데시네마 월드타워,63626,주말 장보기,여가/취미
배민1,68169,도서 구매,식비
배민1,46146,티켓 구매,식비
홈플러스 강서점,12374,점심 식사,마트
YES24,75890,생활용품 구매,여가/취미
T맵택시,37786,아메리카노,교통
이마트 용산점,89281,지하철 요금,마트
맥도날드 신림점,95364,치킨 세트,식비
GS25 강남역점,23556,택시요금,편의점
현대백화점 무역센터점,16002,영화 관람,쇼핑
투썸플레이스 홍대점,79791,택시요금,카페
교보문고 광화문점,47842,스낵 구입,여가/취미
스타벅스 강남역점,78182,식재료 구매,카페
쿠팡이츠,110099,티켓 구매,식비
G마켓,60784,택시요금,쇼핑
ABC마트 강남점,122505,티켓 구매,쇼핑
롯데시네마 월드타워,44990,치킨 세트,여가/취미
메가커피 신촌점,69442,주유,카페
11번가,147709,도서 구매,쇼핑
YES24,21919,택시요금,여가/취미
메가커피 신촌점,68576,옷 구매,카페
배민1,60472,티켓 구매,식비
카카오택시,74541,주말 장보기,교통
하나로마트 양재,140920,티켓 구매,마트
하이패스,5759,지하철 요금,교통
쿠팡이츠,118182,지하철 요금,식비
GS25 강남역점,48025,택시요금,편의점
G마켓,104611,편의점 간식,쇼핑
스타벅스 강남역점,22119,저녁 배달,카페
CU 신림점,13765,생활용품 구매,편의점
카카오택시,82283,저녁 배달,교통
다이소 신촌점,10055,저녁 배달,생활
스타벅스 강남역점,35410,저녁 배달,카페
버거킹 강남점,73197,화장품 구매,식비
BBQ치킨 역삼점,91587,카페라떼,식비
YES24,103837,주유,여가/취미
SK주유소 방배점,121659,편의점 간식,교통
다이소 신촌점,48797,점심 식사,생활
다이소 신촌점,149027,점심 식사,생활
버거킹 강남점,122936,치킨 세트,식비
세븐일레븐 홍대점,99653,스낵 구입,편의점
카페베네 종로점,53902,티켓 구매,카페
하나로마트 양재,64105,지하철 요금,마트
투썸플레이스 홍대점,92109,택시요금,카페
GS25 강남역점,8740,식재료 구매,편의점
이디야커피 잠실점,24478,주말 장보기,카페
쿠팡이츠,117516,주유,식비
올리브영 강남점,50047,아메리카노,쇼핑
이마트 용산점,145278,스낵 구입,마트
YES24,21545,치킨 세트,여가/취미
롯데시네마 월드타워,59610,편의점 간식,여가/취미
올리브영 강남점,43315,주말 장보기,쇼핑
투썸플레이스 홍대점,141922,지하철 요금,카페
ABC마트 강남점,109132,편의점 간식,쇼핑
맘스터치 사당점,76141,아메리카노,식비
이디야커피 잠실점,68879,옷 구매,카페
ABC마트 강남점,130830,영화 관람,쇼핑
서울교통공사,112459,식재료 구매,교통
BBQ치킨 역삼점,59100,도서 구매,식비
교촌치킨 서초점,123875,주말 장보기,식비
요기요,141148,옷 구매,식비
설빙 신촌점,97666,도서 구매,카페
요기요,87151,저녁 배달,식비
ABC마트 강남점,13772,카페라떼,쇼핑
쿠팡이츠,36243,도서 구매,식비
GS칼텍스 강남대로점,110770,티켓 구매,교통
G마켓,129408,주말 장보기,쇼핑
던킨도너츠 강남역,61129,치킨 세트,카페
세븐일레븐 홍대점,99185,치킨 세트,편의점
현대백화점 무역센터점,36993,식재료 구매,쇼핑
버거킹 강남점,53395,영화 관람,식비
BBQ치킨 역삼점,51103,편의점 간식,식비
BBQ치킨 역삼점,111874,치킨 세트,식비
메가박스 강남,137341,저녁 배달,여가/취미
파파존스 강남점,75715,영화 관람,식비
버거킹 강남점,148738,택시요금,식비
CU 신림점,68213,편의점 간식,편의점
카페베네 종로점,39878,영화 관람,카페
CGV 압구정,60731,화장품 구매,여가/취미
롯데백화점 본점,26704,화장품 구매,쇼핑
맥도날드 신림점,143166,주유,식비
코스트코 양재점,136146,생활용품 구매,마트
롯데시네마 월드타워,140745,점심 식사,여가/취미
이디야커피 잠실점,126060,주유,카페
올리브영 강남점,146063,저녁 배달,쇼핑
이디야커피 잠실점,108821,카페라떼,카페
bhc치킨 대치점,15986,식재료 구매,식비
메가커피 신촌점,137248,생활용품 구매,카페
맘스터치 사당점,115069,식재료 구매,식비
버거킹 강남점,121387,스낵 구입,식비
롯데백화점 본점,53514,점심 식사,쇼핑
하나로마트 양재,76505,도서 구매,마트
하이패스,66994,택시요금,교통
카페베네 종로점,96374,아메리카노,카페
이디야커피 잠실점,148597,지하철 요금,카페
올리브영 강남점,115135,주말 장보기,쇼핑
bhc치킨 대치점,35383,도서 구매,식비
버거킹 강남점,104761,화장품 구매,식비
메가박스 강남,35107,티켓 구매,여가/취미
미스터피자 홍대점,75406,티켓 구매,식비
던킨도너츠 강남역,59286,주유,카페
맘스터치 사당점,41981,주유,식비
현대백화점 무역센터점,89443,편의점 간식,쇼핑
교촌치킨 서초점,60768,카페라떼,식비
요기요,34753,스낵 구입,식비
SK주유소 방배점,93432,저녁 배달,교통
이마트 용산점,51160,택시요금,마트
버거킹 강남점,112723,주말 장보기,식비
하나로마트 양재,18946,영화 관람,마트
이마트 용산점,62401,저녁 배달,마트
설빙 신촌점,76418,택시요금,카페
스타벅스 강남역점,95023,스낵 구입,카페
BBQ치킨 역삼점,139404,주유,식비
맥도날드 신림점,43046,점심 식사,식비
교보문고 광화문점,113838,옷 구매,여가/취미
CGV 압구정,70672,주유,여가/취미
교촌치킨 서초점,1731,아메리카노,식비
이디야커피 잠실점,124210,주말 장보기,카페
bhc치킨 대치점,56548,옷 구매,식비
BBQ치킨 역삼점,46455,아메리카노,식비
설빙 신촌점,74210,택시요금,카페
맘스터치 사당점,75744,카페라떼,식비
코스트코 양재점,137754,스낵 구입,마트
롯데백화점 본점,134155,아메리카노,쇼핑
BBQ치킨 역삼점,14300,편의점 간식,식비
메가커피 신촌점,103719,티켓 구매,카페
알라딘 중고서점 홍대,7667,도서 구매,여가/취미
던킨도너츠 강남역,40817,편의점 간식,카페
롯데시네마 월드타워,15464,지하철 요금,여가/취미
이마트 용산점,64654,영화 관람,마트
배민1,66247,생활용품 구매,식비
버거킹 강남점,14585,스낵 구입,식비
CGV 압구정,62548,스낵 구입,여가/취미
CGV 압구정,26535,치킨 세트,여가/취미
홈플러스 강서점,129219,주유,마트
알라딘 중고서점 홍대,89690,화장품 구매,여가/취미
롯데백화점 본점,53634,아메리카노,쇼핑
스타벅스 강남역점,45233,스낵 구입,카페
GS칼텍스 강남대로점,84597,치킨 세트,교통
롯데백화점 본점,32395,편의점 간식,쇼핑
BBQ치킨 역삼점,5767,아메리카노,식비
카페베네 종로점,98357,아메리카노,카페
올리브영 강남점,140022,지하철 요금,쇼핑
요기요,104038,치킨 세트,식비
메가커피 신촌점,55368,주유,카페
투썸플레이스 홍대점,53755,티켓 구매,카페
하나로마트 양재,1878,티켓 구매,마트
메가커피 신촌점,92494,화장품 구매,카페
YES24,90453,택시요금,여가/취미
서울교통공사,101630,티켓 구매,교통
올리브영 강남점,103344,옷 구매,쇼핑
던킨도너츠 강남역,18004,옷 구매,카페
미스터피자 홍대점,120261,스낵 구입,식비
롯데백화점 본점,144046,화장품 구매,쇼핑
투썸플레이스 홍대점,27314,화장품 구매,카페
올리브영 강남점,34573,영화 관람,쇼핑
SK주유소 방배점,122891,주유,교통
쿠팡이츠,142228,아메리카노,식비
버거킹 강남점,4913,생활용품 구매,식비
배민1,110424,점심 식사,식비
코스트코 양재점,46210,치킨 세트,마트
이마트 용산점,128678,화장품 구매,마트
현대백화점 무역센터점,103792,카페라떼,쇼핑
배민1,130235,택시요금,식비
ABC마트 강남점,124499,치킨 세트,쇼핑
스타벅스 강남역점,126967,카페라떼,카페
하나로마트 양재,39163,티켓 구매,마트
배민1,24220,티켓 구매,식비
요기요,129265,택시요금,식비
요기요,50349,아메리카노,식비
버거킹 강남점,11324,점심 식사,식비
CGV 압구정,10821,식재료 구매,여가/취미
T맵택시,125422,주말 장보기,교통
메가커피 신촌점,37135,옷 구매,카페
메가박스 강남,120816,점심 식사,여가/취미
세븐일레븐 홍대점,55636,도서 구매,편의점
롯데백화점 본점,55573,점심 식사,쇼핑
ABC마트 강남점,107620,생활용품 구매,쇼핑
맘스터치 사당점,118499,영화 관람,식비
하나로마트 양재,63602,티켓 구매,마트
파파존스 강남점,85361,아메리카노,식비
쿠팡이츠,109403,도서 구매,식비
쿠팡이츠,20457,지하철 요금,식비
쿠팡이츠,10953,아메리카노,식비
버거킹 강남점,10619,저녁 배달,식비
하이패스,63242,옷 구매,교통
현대백화점 무역센터점,133998,저녁 배달,쇼핑
메가박스 강남,117294,영화 관람,여가/취미
배민1,33911,저녁 배달,식비
메가커피 신촌점,82238,생활용품 구매,카페
T맵택시,26350,스낵 구입,교통
올리브영 강남점,117597,영화 관람,쇼핑
맘스터치 사당점,38961,식재료 구매,식비
ABC마트 강남점,4294,스낵 구입,쇼핑
교촌치킨 서초점,54975,점심 식사,식비
bhc치킨 대치점,110596,카페라떼,식비
미스터피자 홍대점,63569,화장품 구매,식비
SK주유소 방배점,33657,스낵 구입,교통
투썸플레이스 홍대점,63340,도서 구매,카페
이마트 용산점,27128,생활용품 구매,마트
하이패스,132227,화장품 구매,교통
교보문고 광화문점,48918,주말 장보기,여가/취미
G마켓,67552,편의점 간식,쇼핑
다이소 신촌점,88887,치킨 세트,생활
버거킹 강남점,56534,주말 장보기,식비
T맵택시,140504,화장품 구매,교통
하이패스,95077,도서 구매,교통
다이소 신촌점,68571,주말 장보기,생활
올리브영 강남점,47694,생활용품 구매,쇼핑
미스터피자 홍대점,84972,저녁 배달,식비
CU 신림점,78573,점심 식사,편의점
미스터피자 홍대점,17005,점심 식사,식비
이마트 용산점,104377,티켓 구매,마트
G마켓,28243,생활용품 구매,쇼핑
서울교통공사,142320,점심 식사,교통
카카오택시,87428,티켓 구매,교통
현대백화점 무역센터점,32655,옷 구매,쇼핑
GS25 강남역점,59065,스낵 구입,편의점
쿠팡,85248,영화 관람,쇼핑
SK주유소 방배점,147454,카페라떼,교통
투썸플레이스 홍대점,101539,카페라떼,카페
bhc치킨 대치점,110575,도서 구매,식비
파파존스 강남점,86645,아메리카노,식비
11번가,86416,티켓 구매,쇼핑
홈플러스 강서점,146177,택시요금,마트
던킨도너츠 강남역,61256,스낵 구입,카페
교보문고 광화문점,121207,지하철 요금,여가/취미
ABC마트 강남점,19434,점심 식사,쇼핑
배민1,121394,영화 관람,식비
CGV 압구정,66314,화장품 구매,여가/취미
설빙 신촌점,126423,스낵 구입,카페
ABC마트 강남점,36464,스낵 구입,쇼핑
ABC마트 강남점,4629,지하철 요금,쇼핑
YES24,70509,주유,여가/취미
배민1,143089,티켓 구매,식비
스타벅스 강남역점,10288,주말 장보기,카페
SK주유소 방배점,117971,치킨 세트,교통
ABC마트 강남점,126036,카페라떼,쇼핑
세븐일레븐 홍대점,92670,점심 식사,편의점
코스트코 양재점,58156,아메리카노,마트
이마트 용산점,14945,아메리카노,마트
메가커피 신촌점,129853,스낵 구입,카페
메가커피 신촌점,129894,주유,카페
GS25 강남역점,103875,주유,편의점
YES24,50300,스낵 구입,여가/취미
쿠팡이츠,101691,카페라떼,식비
던킨도너츠 강남역,29584,카페라떼,카페
이디야커피 잠실점,128432,스낵 구입,카페
미스터피자 홍대점,120482,아메리카노,식비
CU 신림점,127490,치킨 세트,편의점
맥도날드 신림점,126606,저녁 배달,식비
올리브영 강남점,69102,스낵 구입,쇼핑
카카오택시,119818,아메리카노,교통
쿠팡,88139,지하철 요금,쇼핑
파파존스 강남점,43724,치킨 세트,식비
맥도날드 신림점,21972,화장품 구매,식비
G마켓,70874,주말 장보기,쇼핑
교촌치킨 서초점,30091,카페라떼,식비
ABC마트 강남점,4113,주말 장보기,쇼핑
던킨도너츠 강남역,54940,옷 구매,카페
롯데시네마 월드타워,119389,식재료 구매,여가/취미
YES24,77298,카페라떼,여가/취미
CU 신림점,75955,택시요금,편의점
교촌치킨 서초점,9411,티켓 구매,식비
올리브영 강남점,123914,스낵 구입,쇼핑
SK주유소 방배점,3332,티켓 구매,교통
CU 신림점,102245,택시요금,편의점
쿠팡이츠,86368,아메리카노,식비
서울교통공사,123810,영화 관람,교통
GS25 강남역점,17275,영화 관람,편의점
T맵택시,38785,식재료 구매,교통
하이패스,132069,카페라떼,교통
스타벅스 강남역점,113919,티켓 구매,카페
BBQ치킨 역삼점,26254,주말 장보기,식비
다이소 신촌점,75312,생활용품 구매,생활
CGV 압구정,75334,점심 식사,여가/취미
올리브영 강남점,40920,주유,쇼핑
GS칼텍스 강남대로점,35407,영화 관람,교통
11번가,82523,옷 구매,쇼핑
다이소 신촌점,15245,티켓 구매,생활
CGV 압구정,52918,옷 구매,여가/취미
투썸플레이스 홍대점,120718,옷 구매,카페
교보문고 광화문점,29585,주유,여가/취미
알라딘 중고서점 홍대,43199,지하철 요금,여가/취미
던킨도너츠 강남역,32189,주유,카페
요기요,117087,도서 구매,식비
CGV 압구정,17776,아메리카노,여가/취미
롯데시네마 월드타워,130736,옷 구매,여가/취미
투썸플레이스 홍대점,6092,스낵 구입,카페
맘스터치 사당점,27011,치킨 세트,식비
홈플러스 강서점,18783,주말 장보기,마트
다이소 신촌점,13197,도서 구매,생활
메가박스 강남,94840,지하철 요금,여가/취미
현대백화점 무역센터점,120492,영화 관람,쇼핑
이디야커피 잠실점,65428,카페라떼,카페
세븐일레븐 홍대점,126766,영화 관람,편의점
세븐일레븐 홍대점,9839,주말 장보기,편의점
다이소 신촌점,7069,영화 관람,생활
배민1,98892,카페라떼,식비
GS25 강남역점,125680,아메리카노,편의점
카카오택시,6805,지하철 요금,교통
카페베네 종로점,52455,주말 장보기,카페
스타벅스 강남역점,6139,주유,카페
버거킹 강남점,61265,택시요금,식비
미스터피자 홍대점,71433,점심 식사,식비
메가커피 신촌점,14126,점심 식사,카페
쿠팡이츠,26936,영화 관람,식비
메가커피 신촌점,4262,편의점 간식,카페
GS칼텍스 강남대로점,15911,편의점 간식,교통
코스트코 양재점,28141,화장품 구매,마트
GS25 강남역점,84740,지하철 요금,편의점
다이소 신촌점,106889,주말 장보기,생활
미스터피자 홍대점,111326,치킨 세트,식비
다이소 신촌점,95082,편의점 간식,생활
맥도날드 신림점,122606,지하철 요금,식비
하이패스,108504,카페라떼,교통
현대백화점 무역센터점,113271,지하철 요금,쇼핑
쿠팡,94503,저녁 배달,쇼핑
GS25 강남역점,127594,옷 구매,편의점
현대백화점 무역센터점,33817,주유,쇼핑
쿠팡이츠,1543,주말 장보기,식비
교촌치킨 서초점,27965,치킨 세트,식비
카카오택시,8157,저녁 배달,교통
맥도날드 신림점,105263,주말 장보기,식비
배민1,28047,영화 관람,식비
맥도날드 신림점,66359,스낵 구입,식비
미스터피자 홍대점,78773,저녁 배달,식비
하나로마트 양재,128862,택시요금,마트
맥도날드 신림점,146695,티켓 구매,식비
투썸플레이스 홍대점,27536,지하철 요금,카페
현대백화점 무역센터점,29794,치킨 세트,쇼핑
설빙 신촌점,51491,지하철 요금,카페
CGV 압구정,75914,화장품 구매,여가/취미
현대백화점 무역센터점,6618,주유,쇼핑
쿠팡,4427,주유,쇼핑
투썸플레이스 홍대점,21826,티켓 구매,카페
GS25 강남역점,142705,저녁 배달,편의점
서울교통공사,95122,아메리카노,교통
현대백화점 무역센터점,45329,화장품 구매,쇼핑
쿠팡이츠,73905,티켓 구매,식비
ABC마트 강남점,49024,저녁 배달,쇼핑
투썸플레이스 홍대점,93001,택시요금,카페
bhc치킨 대치점,1756,아메리카노,식비
요기요,130983,티켓 구매,식비
현대백화점 무역센터점,132431,택시요금,쇼핑
11번가,15729,택시요금,쇼핑
CU 신림점,3727,지하철 요금,편의점
알라딘 중고서점 홍대,74462,아메리카노,여가/취미
교촌치킨 서초점,3677,식재료 구매,식비
알라딘 중고서점 홍대,31373,주유,여가/취미
미스터피자 홍대점,87902,저녁 배달,식비
SK주유소 방배점,1779,택시요금,교통
카페베네 종로점,84175,생활용품 구매,카페
CU 신림점,8359,카페라떼,편의점
파파존스 강남점,105026,영화 관람,식비
맥도날드 신림점,85580,치킨 세트,식비
이마트 용산점,98758,편의점 간식,마트
설빙 신촌점,145365,주유,카페
ABC마트 강남점,138450,편의점 간식,쇼핑
롯데백화점 본점,55304,주말 장보기,쇼핑
쿠팡이츠,55570,주유,식비
메가박스 강남,60420,영화 관람,여가/취미
투썸플레이스 홍대점,77790,저녁 배달,카페
롯데시네마 월드타워,64891,택시요금,여가/취미
ABC마트 강남점,31144,티켓 구매,쇼핑
세븐일레븐 홍대점,126898,카페라떼,편의점
올리브영 강남점,61760,옷 구매,쇼핑
버거킹 강남점,119972,지하철 요금,식비
설빙 신촌점,105777,치킨 세트,카페
요기요,1586,티켓 구매,식비
교보문고 광화문점,41332,편의점 간식,여가/취미
코스트코 양재점,135940,도서 구매,마트
요기요,143512,도서 구매,식비
bhc치킨 대치점,44569,카페라떼,식비
하이패스,16165,스낵 구입,교통
CGV 압구정,21338,영화 관람,여가/취미
ABC마트 강남점,50739,생활용품 구매,쇼핑
11번가,58813,편의점 간식,쇼핑
스타벅스 강남역점,102215,주말 장보기,카페
투썸플레이스 홍대점,29729,영화 관람,카페
T맵택시,51547,저녁 배달,교통
롯데시네마 월드타워,58021,도서 구매,여가/취미
메가박스 강남,37147,영화 관람,여가/취미
CU 신림점,17179,티켓 구매,편의점
T맵택시,42507,티켓 구매,교통
맘스터치 사당점,69866,영화 관람,식비
스타벅스 강남역점,19893,도서 구매,카페
YES24,47994,점심 식사,여가/취미
교촌치킨 서초점,108776,화장품 구매,식비
메가박스 강남,69148,옷 구매,여가/취미
이디야커피 잠실점,27531,주말 장보기,카페
투썸플레이스 홍대점,73172,도서 구매,카페
코스트코 양재점,133888,티켓 구매,마트
서울교통공사,103800,주말 장보기,교통
던킨도너츠 강남역,124894,택시요금,카페
CU 신림점,135018,지하철 요금,편의점
카페베네 종로점,133038,아메리카노,카페
11번가,90281,치킨 세트,쇼핑
홈플러스 강서점,46354,주유,마트
알라딘 중고서점 홍대,49933,편의점 간식,여가/취미
YES24,75931,편의점 간식,여가/취미
롯데시네마 월드타워,52615,생활용품 구매,여가/취미
던킨도너츠 강남역,122338,생활용품 구매,카페
G마켓,67940,식재료 구매,쇼핑
미스터피자 홍대점,120406,점심 식사,식비
GS25 강남역점,37478,아메리카노,편의점
카카오택시,73337,치킨 세트,교통
GS칼텍스 강남대로점,96176,옷 구매,교통
다이소 신촌점,43107,주유,생활
현대백화점 무역센터점,33642,도서 구매,쇼핑
ABC마트 강남점,72485,스낵 구입,쇼핑
CU 신림점,138911,주말 장보기,편의점
교촌치킨 서초점,76275,영화 관람,식비
GS칼텍스 강남대로점,61962,지하철 요금,교통
G마켓,25492,티켓 구매,쇼핑
올리브영 강남점,144654,영화 관람,쇼핑
카페베네 종로점,94314,화장품 구매,카페
설빙 신촌점,133772,티켓 구매,카페
GS칼텍스 강남대로점,130879,화장품 구매,교통
쿠팡이츠,70429,티켓 구매,식비
요기요,30413,지하철 요금,식비
ABC마트 강남점,21276,편의점 간식,쇼핑
롯데시네마 월드타워,134518,저녁 배달,여가/취미
BBQ치킨 역삼점,107816,택시요금,식비
